group-title,channel
Spor,4K TR: A SPOR HD (1)
Spor,4K TR: EUROSPORT 1 HD (1)
Spor,4K TR: EUROSPORT 2 HD (1)
Spor,4K TR: EXXEN TV (1)
Spor,4K TR: FB TV (1)
Spor,4K TR: NBA TV HD (1)
Spor,4K TR: S SPORT (1)
Spor,4K TR: S SPORT 2 (1)
Spor,4K TR: SPOR SMART (1)
Spor,4K TR: SPORTS TV HD (1)
Spor,4K TR: TJK TV (1)
Spor,4K TR: TRT 3 (1)
Spor,4K TR: TRT SPOR HD (1)
Spor,4K TR: TRT SPOR YILDIZ (1)
Spor,A SPOR (6)
Spor,A SPOR (7)
Spor,A SPOR FHD (1)
Spor,A SPOR HD (1)
Spor,A SPOR HEVC (1)
Spor,A SPOR RAW (1)
Spor,BEIN 1 FEED (720P) (1)
Spor,BEIN 1 SD (360P) (1)
Spor,BEIN 1 SD (480P) (1)
Spor,BEIN SPORTS 1 (6)
Spor,BEIN SPORTS 1 (720P) (1)
Spor,BEIN SPORTS 1 (720PFEED) (1)
Spor,BEIN SPORTS 1 + (1)
Spor,BEIN SPORTS 1 50 FPS (1)
Spor,BEIN SPORTS 1 H265 (1)
Spor,BEIN SPORTS 1 HD (1)
Spor,BEIN SPORTS 1 HD (TURKEY) (1)
Spor,BEIN SPORTS 1 [LIVE DURING EVENTS ONLY] (7)
Spor,BEIN SPORTS 2 (6)
Spor,BEIN SPORTS 2 (7)
Spor,BEIN SPORTS 2 HD (1)
Spor,BEIN SPORTS 2 SD (1)
Spor,BEIN SPORTS 2 UHD (1)
Spor,BEIN SPORTS 3 (6)
Spor,BEIN SPORTS 3 (7)
Spor,BEIN SPORTS 3 HD (1)
Spor,BEIN SPORTS 3 SD (1)
Spor,BEIN SPORTS 3 UHD (1)
Spor,BEIN SPORTS 4 (6)
Spor,BEIN SPORTS 4 (7)
Spor,BEIN SPORTS 4 HD (1)
Spor,BEIN SPORTS 4 UHD (1)
Spor,BEIN SPORTS 4K FEED(KUTU) (1)
Spor,BEIN SPORTS 4K FEED(UYDU) (1)
Spor,BEIN SPORTS 5 (6)
Spor,BEIN SPORTS 5 (MATCH TIME) (7)
Spor,BEIN SPORTS 5 FHD (1)
Spor,BEIN SPORTS 5 HD (1)
Spor,BEIN SPORTS 720P FEED (1)
Spor,BEIN SPORTS 8K FEED (1)
Spor,BEIN SPORTS FEED (OZEL FEED YAYIN) (1)
Spor,BEIN SPORTS HABER (6)
Spor,BEIN SPORTS HABER (7)
Spor,BEIN SPORTS HABER HD (1)
Spor,BEIN SPORTS HABER RAW (1)
Spor,BEIN SPORTS MAX 1 (6)
Spor,BEIN SPORTS MAX 1 (7)
Spor,BEIN SPORTS MAX 1 FHD (1)
Spor,BEIN SPORTS MAX 1 HD (1)
Spor,BEIN SPORTS MAX 2 (6)
Spor,BEIN SPORTS MAX 2 (7)
Spor,BEIN SPORTS MAX 2 FHD (1)
Spor,BEIN SPORTS MAX 2 HD (1)
Spor,BEIN SPOTS1 SD (1)
Spor,EUROSPORT 1 (6)
Spor,EUROSPORT 1 (7)
Spor,EUROSPORT 2 (6)
Spor,EUROSPORT 2 [LIVE DURING EVENTS ONLY] (7)
Spor,EUROSPORT1 HD (1)
Spor,EUROSPORT2 HD (1)
Spor,EXXEN SPOR 1 SD (1)
Spor,EXXEN SPORTS 1 (7)
Spor,EXXEN SPORTS 2 (6)
Spor,EXXEN SPORTS 2 [LIVE DURING EVENTS ONLY] (7)
Spor,EXXEN SPORTS 3 [LIVE DURING EVENTS ONLY] (7)
Spor,EXXEN SPORTS 4 (7)
Spor,EXXEN SPORTS 5 (7)
Spor,EXXEN SPORTS 6 [LIVE DURING EVENTS ONLY] (7)
Spor,EXXEN SPORTS 7 (7)
Spor,EXXEN SPORTS 8 (7)
Spor,EXXEN TV (6)
Spor,EXXEN TV SPOR 1 (1)
Spor,EXXEN TV SPOR 1 720P (1)
Spor,EXXEN TV SPOR 1 FEED (1)
Spor,EXXEN TV SPOR 1 HD (1)
Spor,EXXEN TV SPOR 1 UHD (1)
Spor,EXXEN TV SPOR 2 HD (1)
Spor,EXXEN TV SPOR 2 UHD (1)
Spor,EXXEN TV SPOR 3 (1)
Spor,EXXEN TV SPOR 4 (1)
Spor,EXXEN TV SPOR 5 (1)
Spor,EXXEN TV SPOR 6 (1)
Spor,EXXEN TV SPOR 7 (1)
Spor,EXXEN TV SPOR 8 (1)
Spor,FB TV (1)
Spor,FB TV (6)
Spor,FB TV (7)
Spor,FIGHT BOX (6)
Spor,FILBOX SPOR 1 MACZAMANI (1)
Spor,FILBOX SPOR 2 MACZAMANI (1)
Spor,FILBOX SPOR 3 MACZAMANI (1)
Spor,GALATASARAY TV (6)
Spor,GALATASARAY TV (7)
Spor,GS TV (7)
Spor,GSTV HD (1)
Spor,HT SPOR HD (1)
Spor,IDMAN TV HD (1)
Spor,NBA TV (7)
Spor,NBA TV FHD (1)
Spor,NBA TV HD (1)
Spor,REDBULL TV (1)
Spor,S SPORT (6)
Spor,S SPORT (7)
Spor,S SPORT 2 (6)
Spor,S SPORT 2 (7)
Spor,S SPORT+3 MAC SAATI (1)
Spor,S SPORT+4 MAC SAATI (1)
Spor,S SPORT+5 MAC SAATI (1)
Spor,S-SPORT 1 UHD (1)
Spor,S-SPORT 2 HD (1)
Spor,S-SPORT 2 UHD (1)
Spor,S-SPORT HD (1)
Spor,S-SPORT PLUS FHD (1)
Spor,S-SPORT+1 MAC SAATI (1)
Spor,S-SPORT+2 MAC SAATI (1)
Spor,S-SPORTS 1 SD (1)
Spor,S-SPORTS 2 SD (1)
Spor,SARAN SPORT 1 (7)
Spor,SARAN SPORT 2 (7)
Spor,SMART SPOR 1 (7)
Spor,SPOR SMART (6)
Spor,SPOR SMART 2 (6)
Spor,SPOR SMART 2 HD (1)
Spor,SPOR SMART FHD (1)
Spor,SPOR SMART HD (1)
Spor,SPOR SMART HEVC (1)
Spor,SPOR SMART SD (1)
Spor,SPORTS TV (6)
Spor,SPORTSTV HD (1)
Spor,T.A.Y TV (1)
Spor,TABII SPOR 1 4K (1)
Spor,TABII SPOR 1 720P (1)
Spor,TABII SPOR 1 UHD (1)
Spor,TABII SPOR 2 HD (1)
Spor,TABII SPOR 2 UHD (1)
Spor,TABII SPOR 3 HD (1)
Spor,TABII SPOR 3 UHD (1)
Spor,TABII SPOR 4 HD (1)
Spor,TABII SPOR 4 UHD (1)
Spor,TABII SPOR 5 HD (1)
Spor,TABII SPOR 5 UHD (1)
Spor,TABII SPOR 6 HD (1)
Spor,TABII SPOR 6 UHD (1)
Spor,TABII SPOR HD (1)
Spor,TABII SPOR SD (1)
Spor,TAY (7)
Spor,TAY TV (6)
Spor,TIVIBU SPOR (6)
Spor,TIVIBU SPOR 1 (6)
Spor,TIVIBU SPOR 1 (7)
Spor,TIVIBU SPOR 2 (6)
Spor,TIVIBU SPOR 2 (7)
Spor,TIVIBU SPOR 3 (6)
Spor,TIVIBU SPOR 3 (7)
Spor,TIVIBU SPOR 4 (6)
Spor,TIVIBU SPOR 4 HD (1)
Spor,TIVIBU SPOR 5 HD (1)
Spor,TIVIBU SPOR RAW (1)
Spor,TIVIBUSPOR 1 FHD (1)
Spor,TIVIBUSPOR 1 HD (1)
Spor,TIVIBUSPOR 2 FHD (1)
Spor,TIVIBUSPOR 2 HD (1)
Spor,TIVIBUSPOR 3 FHD (1)
Spor,TIVIBUSPOR 3 HD (1)
Spor,TIVIBUSPOR SPOR HD (1)
Spor,TJK TV (6)
Spor,TJK TV (7)
Spor,TJK TV HD (1)
Spor,TRT 3 SPOR (6)
Spor,TRT SPOR (6)
Spor,TRT SPOR (7)
Spor,TRT SPOR FHD (1)
Spor,TRT SPOR HD (1)
Spor,TRT SPOR RAW (1)
Spor,TRT SPOR YILDIZ (6)
Spor,TRT SPOR YILDIZ (7)
Spor,TRT SPOR YILDIZ HD (1)
Spor,TRT SPOR YILDIZ HEVC (1)
Spor,TRT SPOR YILDIZ RAW (1)
Ulusal,4K TR: ATV HD (1)
Ulusal,4K TR: A2 HD (1)
Ulusal,4K TR: BEYAZ TV HD (1)
Ulusal,4K TR: FLASH TV (1)
Ulusal,4K TR: KANAL 7 HD (1)
Ulusal,4K TR: KANAL D HD (1)
Ulusal,4K TR: NOW HD (1)
Ulusal,4K TR: SHOW TV HD (1)
Ulusal,4K TR: STAR TV HD (1)
Ulusal,4K TR: TEVE2 HD (1)
Ulusal,4K TR: TRT 1 HD (1)
Ulusal,4K TR: TRT AVAZ (1)
Ulusal,4K TR: TRT KURD (1)
Ulusal,4K TR: TV8 HD (1)
Ulusal,A2 (6)
Ulusal,A2 (7)
Ulusal,A2 HD (1)
Ulusal,A2 HEVC (1)
Ulusal,A2 RAW (1)
Ulusal,A2 TV SD (1)
Ulusal,ATV (6)
Ulusal,ATV (7)
Ulusal,ATV AVRUPA (6)
Ulusal,ATV EUROPA (1)
Ulusal,ATV FHD (1)
Ulusal,ATV HD (1)
Ulusal,ATV HD (H265) (1)
Ulusal,ATV HEVC (1)
Ulusal,ATV RAW (1)
Ulusal,ATV SD (1)
Ulusal,BEYAZ HD+ SD (1)
Ulusal,BEYAZ TV (6)
Ulusal,BEYAZ TV (7)
Ulusal,BEYAZ TV FHD (1)
Ulusal,BEYAZ TV HD (1)
Ulusal,BEYAZ TV HEVC (1)
Ulusal,BEYAZ TV RAW (1)
Ulusal,CINE 5 (6)
Ulusal,FLASH TV HD (1)
Ulusal,FOX (6)
Ulusal,FOX (7)
Ulusal,FOX TV HD (H265) (1)
Ulusal,FOX TV HEVC (1)
Ulusal,FOX TV RAW (1)
Ulusal,FOX TV SD (1)
Ulusal,KANAL 7 (6)
Ulusal,KANAL 7 (7)
Ulusal,KANAL 7 FHD (1)
Ulusal,KANAL 7 HD (1)
Ulusal,KANAL 7 HEVC (1)
Ulusal,KANAL 7 RAW (1)
Ulusal,KANAL D (6)
Ulusal,KANAL D (7)
Ulusal,KANAL D FHD (1)
Ulusal,KANAL D HD (1)
Ulusal,KANAL D HD (H265) (1)
Ulusal,KANAL D HEVC (1)
Ulusal,KANAL D RAW (1)
Ulusal,KANAL D SD (1)
Ulusal,NOW TV FHD (1)
Ulusal,NOW TV HD (1)
Ulusal,SHOW HD (H265) (1)
Ulusal,SHOW TV (6)
Ulusal,SHOW TV (7)
Ulusal,SHOW TV FHD (1)
Ulusal,SHOW TV HD (1)
Ulusal,SHOW TV HEVC (1)
Ulusal,SHOW TV RAW (1)
Ulusal,SHOW TV SD (1)
Ulusal,STAR HD (H265) (1)
Ulusal,STAR HD SD (1)
Ulusal,STAR TV (6)
Ulusal,STAR TV (7)
Ulusal,STAR TV FHD (1)
Ulusal,STAR TV HD (1)
Ulusal,STAR TV HEVC (1)
Ulusal,STAR TV RAW (1)
Ulusal,TEVE 2 (6)
Ulusal,TEVE 2 (7)
Ulusal,TEVE 2 FHD (1)
Ulusal,TEVE 2 HEVC (1)
Ulusal,TEVE2 RAW (1)
Ulusal,TRT 1 (6)
Ulusal,TRT 1 (7)
Ulusal,TRT 1 4K (1)
Ulusal,TRT 1 FHD (1)
Ulusal,TRT 1 HD (1)
Ulusal,TRT 1 HEVC (1)
Ulusal,TRT 1 RAW (1)
Ulusal,TRT 1 SD (1)
Ulusal,TRT 4K (6)
Ulusal,TRT AVAZ (1)
Ulusal,TRT AVAZ (6)
Ulusal,TRT AVAZ (7)
Ulusal,TRT KURDI (7)
Ulusal,TRT KURDI RAW (1)
Ulusal,TV 100 (1)
Ulusal,TV 100 (6)
Ulusal,TV 100 (7)
Ulusal,TV 100 HEVC (1)
Ulusal,TV 8 (6)
Ulusal,TV 8 (7)
Ulusal,TV 8 HD (H265) (1)
Ulusal,TV 8 HEVC (1)
Ulusal,TV 8 SD (1)
